Transaction_ID,Age,Gender,Country,Loyalty_Member,Purpose_of_Travel,Booking_Channel,Number_Previous_Stays,Lead_Time_Days,Length_of_Stay,Room_Type,Check_in_Month,Number_Guests,Avg_Daily_Rate,Preferred_Amenities,Special_Requests,Services_Used,Basket_Items,Overall_Satisfaction,Would_Recommend,Total_Revenue,Room_Demand_Indicator,Upselling_Success
T100037,18,Female,France,No,Business,Website,2,17,5,Deluxe,Aug,2,263.4,Gym;Breakfast;Parking,Late check-out,Gym;Restaurant;Mini-bar,"[Gym, Restaurant, Mini-bar]",3,Yes,1417.0,1,No
T100038,22,Female,USA,Yes,Business,Website,4,1,1,Deluxe,Jul,2,258.09,Breakfast;Parking,None,Laundry;Gym;Restaurant,"[Laundry, Gym, Restaurant]",4,Yes,348.09,1,No
T100039,40,Male,India,No,Business,Phone,0,13,5,Standard,May,2,115.4,WiFi;Pool;Gym;Breakfast;Parking,Late check-out,Room service;Laundry;Restaurant;Mini-bar;Breakfast,"[Room service, Laundry, Restaurant, Mini-bar, Breakfast]",4,Yes,827.0,0,Yes
T100040,46,Male,China,Yes,Business,Website,9,13,3,Deluxe,Sep,2,202.06,WiFi;Breakfast;Restaurant;Parking,Late check-out,Room service;Laundry;Gym;Restaurant;Mini-bar;Breakfast,"[Room service, Laundry, Gym, Restaurant, Mini-bar, Breakfast]",2,No,856.18,0,Yes
T100041,40,Male,UAE,No,Business,Website,0,3,3,Deluxe,Apr,2,180.01,WiFi;Gym;Breakfast;Restaurant,High floor,Laundry;Gym;Restaurant;Mini-bar;Breakfast,"[Laundry, Gym, Restaurant, Mini-bar, Breakfast]",5,Yes,690.03,0,No
T100042,36,Female,China,No,Business,Website,2,3,3,Standard,Aug,1,141.4,WiFi;Breakfast;Spa;Restaurant,Early check-in,Breakfast,[Breakfast],3,No,444.2,1,No
T100043,34,Other,Germany,No,Business,Phone,2,3,4,Standard,Dec,1,134.32,WiFi;Pool;Gym;Breakfast;Restaurant;Parking,High floor,Laundry;Spa;Gym;Restaurant;Breakfast,"[Laundry, Spa, Gym, Restaurant, Breakfast]",3,Yes,797.28,1,Yes
T100044,20,Male,Italy,No,Leisure,App,2,20,7,Deluxe,Sep,4,208.45,WiFi;Pool;Breakfast;Restaurant;Parking,High floor,Laundry;Mini-bar,"[Laundry, Mini-bar]",2,No,1579.15,0,Yes
T100045,29,Female,France,No,Other,App,0,36,7,Deluxe,Jun,3,226.61,Gym;Breakfast;Restaurant,High floor,Room service;Laundry;Restaurant;Breakfast,"[Room service, Laundry, Restaurant, Breakfast]",5,Yes,1796.27,1,Yes
T100046,32,Male,India,Yes,Other,Agent,9,58,7,Standard,Sep,4,125.97,Pool;Breakfast;Restaurant;Parking,Extra pillows,Gym;Restaurant;Mini-bar;Breakfast,"[Gym, Restaurant, Mini-bar, Breakfast]",3,No,1001.79,0,No
T100047,50,Female,China,No,Leisure,App,0,7,5,Standard,Oct,2,115.52,WiFi;Pool;Breakfast;Spa;Restaurant,None,Mini-bar;Breakfast,"[Mini-bar, Breakfast]",3,No,687.6,0,Yes
T100048,42,Male,France,Yes,Leisure,App,4,12,8,Deluxe,May,4,217.03,WiFi;Gym;Breakfast;Restaurant;Parking,Late check-out,Gym;Restaurant,"[Gym, Restaurant]",4,Yes,1796.24,0,No
T100049,18,Female,Canada,Yes,Leisure,Website,3,18,7,Standard,Sep,4,118.69,Pool,High floor,Laundry;Spa;Gym,"[Laundry, Spa, Gym]",3,No,960.83,0,No
T100050,41,Female,France,Yes,Business,Website,7,48,4,Deluxe,Jun,1,256.3,WiFi;Pool;Breakfast;Parking,Late check-out,Laundry;Restaurant;Breakfast,"[Laundry, Restaurant, Breakfast]",4,Yes,1135.2,1,No
T100051,33,Male,India,No,Leisure,App,1,14,8,Deluxe,Oct,2,205.13,WiFi;Gym;Spa;Restaurant,Late check-out,Room service;Laundry;Spa;Restaurant,"[Room service, Laundry, Spa, Restaurant]",3,No,1881.04,0,No
T100052,29,Male,UK,Yes,Business,App,6,21,4,Deluxe,May,1,219.1,WiFi;Breakfast;Spa,Late check-out,Laundry;Gym;Mini-bar;Breakfast,"[Laundry, Gym, Mini-bar, Breakfast]",4,Yes,1016.4,0,Yes
T100053,45,Male,China,Yes,Business,Website,1,13,1,Standard,Dec,2,150.99,Pool;Breakfast;Parking,Late check-out,Room service;Gym;Restaurant,"[Room service, Gym, Restaurant]",4,Yes,260.99,1,No
T100054,50,Male,UAE,Yes,Leisure,App,12,17,6,Deluxe,Aug,4,250.93,WiFi;Breakfast;Restaurant,High floor,Room service;Laundry;Gym;Mini-bar,"[Room service, Laundry, Gym, Mini-bar]",4,Yes,1675.58,1,Yes
T100055,49,Male,China,Yes,Business,Website,4,2,2,Standard,Jun,2,137.23,Breakfast;Parking,Late check-out,Laundry,[Laundry],4,Yes,304.46,1,No
T100056,27,Female,China,No,Business,Website,0,2,3,Standard,Jun,1,144.14,Breakfast,High floor,Gym;Restaurant;Breakfast,"[Gym, Restaurant, Breakfast]",2,No,562.42,1,Yes
T100057,34,Female,France,No,Leisure,App,1,22,6,Deluxe,May,4,191.6,Pool;Breakfast;Restaurant;Parking,Late check-out,Gym;Restaurant,"[Gym, Restaurant]",3,Yes,1209.6,0,No
T100058,41,Male,India,Yes,Business,Phone,6,10,5,Deluxe,Mar,1,180.77,WiFi;Gym;Breakfast;Parking,High floor,Laundry;Gym,"[Laundry, Gym]",3,No,933.85,0,No
T100059,49,Male,France,No,Business,Website,0,8,2,Deluxe,Jan,1,208.42,WiFi;Gym;Breakfast;Restaurant;Parking,Early check-in,Laundry;Gym;Mini-bar,"[Laundry, Gym, Mini-bar]",3,Yes,536.84,0,Yes
T100060,32,Female,India,No,Leisure,App,0,36,4,Deluxe,May,2,189.43,WiFi;Pool;Gym;Spa;Restaurant,Late check-out,Room service;Gym;Restaurant;Breakfast,"[Room service, Gym, Restaurant, Breakfast]",1,No,937.72,0,Yes
T100061,35,Female,India,Yes,Leisure,Website,4,37,6,Deluxe,Jul,2,235.07,WiFi;Pool;Breakfast;Restaurant,Extra pillows,Mini-bar,[Mini-bar],4,Yes,1450.42,1,No
T100062,24,Male,China,Yes,Business,Website,5,3,4,Standard,Jun,1,137.8,WiFi;Gym;Breakfast;Parking,High floor,Laundry;Gym;Restaurant,"[Laundry, Gym, Restaurant]",4,Yes,641.2,1,No
T100063,23,Female,Italy,No,Business,Website,0,2,4,Deluxe,Jan,1,187.99,Gym;Breakfast;Parking,Late check-out,Room service;Laundry;Mini-bar,"[Room service, Laundry, Mini-bar]",4,Yes,871.96,0,No
T100064,47,Male,USA,Yes,Business,Website,5,4,8,Standard,Aug,1,131.53,WiFi;Pool;Gym;Breakfast;Restaurant;Parking,Late check-out,Room service;Spa;Breakfast,"[Room service, Spa, Breakfast]",3,No,1222.24,1,No
T100065,54,Male,UK,Yes,Leisure,Website,8,17,4,Suite,Mar,3,387.03,Pool;Breakfast;Restaurant,Late check-out,Restaurant;Mini-bar,"[Restaurant, Mini-bar]",5,No,1698.12,0,Yes
T100066,37,Male,Canada,Yes,Business,Website,4,3,3,Standard,Apr,1,109.96,WiFi;Gym;Breakfast;Parking,None,Laundry;Gym;Mini-bar,"[Laundry, Gym, Mini-bar]",3,Yes,399.88,0,No
T100067,50,Male,USA,No,Business,Agent,3,4,6,Standard,Feb,1,120.97,WiFi;Gym;Breakfast;Parking,Late check-out,Laundry;Mini-bar;Breakfast,"[Laundry, Mini-bar, Breakfast]",2,No,815.82,0,No
T100068,42,Male,China,Yes,Business,Website,11,14,4,Deluxe,Jul,2,216.94,WiFi;Pool;Gym;Restaurant,High floor,Spa;Gym;Restaurant;Mini-bar;Breakfast,"[Spa, Gym, Restaurant, Mini-bar, Breakfast]",3,No,1137.76,1,Yes
T100069,30,Female,China,Yes,Business,App,5,12,3,Deluxe,Feb,1,217.6,WiFi;Pool;Gym;Breakfast;Spa;Restaurant,Extra pillows,Room service;Gym;Restaurant,"[Room service, Gym, Restaurant]",3,No,812.8,0,Yes
T100070,42,Female,China,Yes,Other,App,9,15,7,Deluxe,Apr,3,218.66,WiFi;Pool;Breakfast;Spa;Restaurant,Late check-out,Restaurant;Mini-bar;Breakfast,"[Restaurant, Mini-bar, Breakfast]",3,Yes,1650.62,0,No
T100071,56,Female,Germany,No,Business,App,0,10,4,Standard,Jul,1,138.37,WiFi;Gym;Breakfast,Late check-out,Room service;Gym;Breakfast,"[Room service, Gym, Breakfast]",4,Yes,623.48,1,No
T100072,37,Male,UK,No,Leisure,App,3,8,8,Suite,Mar,1,380.82,WiFi;Gym;Parking,None,Room service;Laundry;Spa;Restaurant,"[Room service, Laundry, Spa, Restaurant]",4,Yes,3336.56,0,Yes
T100073,56,Male,China,Yes,Business,Website,10,3,5,Standard,Jun,1,132.61,WiFi;Gym;Breakfast;Spa;Parking,None,Laundry;Restaurant;Breakfast,"[Laundry, Restaurant, Breakfast]",4,Yes,773.05,1,No
T100074,18,Female,India,No,Leisure,Website,0,79,7,Standard,May,2,129.72,WiFi;Gym;Breakfast;Restaurant,Extra pillows,Restaurant,[Restaurant],3,Yes,1018.04,0,Yes
T100075,47,Male,Germany,No,Leisure,Agent,1,26,9,Suite,Nov,1,406.95,Gym;Breakfast;Restaurant,High floor,Room service;Spa;Gym;Breakfast,"[Room service, Spa, Gym, Breakfast]",3,Yes,3832.55,0,No
T100076,39,Male,USA,No,Business,Agent,2,7,3,Deluxe,Oct,2,204.4,WiFi;Breakfast;Spa;Restaurant;Parking,Late check-out,Room service;Laundry;Gym;Breakfast,"[Room service, Laundry, Gym, Breakfast]",4,Yes,713.2,0,No
T100077,34,Male,China,Yes,Business,Website,5,7,5,Standard,Dec,1,155.4,WiFi;Breakfast;Restaurant,High floor,Laundry;Restaurant;Mini-bar;Breakfast,"[Laundry, Restaurant, Mini-bar, Breakfast]",3,Yes,927.0,1,No
T100078,39,Female,UK,No,Business,Website,2,9,4,Standard,Jul,1,155.83,WiFi;Gym;Breakfast;Spa;Restaurant,Late check-out,Laundry;Restaurant;Mini-bar;Breakfast,"[Laundry, Restaurant, Mini-bar, Breakfast]",3,No,823.32,1,Yes
T100079,18,Male,UK,Yes,Leisure,Agent,5,68,7,Deluxe,Aug,3,255.76,WiFi;Pool;Gym;Spa;Parking,None,Gym;Restaurant;Breakfast,"[Gym, Restaurant, Breakfast]",4,Yes,1870.32,1,No
T100080,35,Male,UK,No,Business,Website,2,15,4,Deluxe,Dec,1,253.13,WiFi;Breakfast;Spa;Parking,Extra pillows,Breakfast,[Breakfast],5,Yes,1082.52,1,Yes
T100081,42,Female,UK,Yes,Leisure,App,8,82,2,Standard,Jun,2,154.86,Gym,Late check-out,Room service;Spa;Mini-bar;Breakfast,"[Room service, Spa, Mini-bar, Breakfast]",3,No,519.72,1,No
T100082,55,Male,France,Yes,Leisure,App,7,5,6,Deluxe,Jul,2,258.05,WiFi;Breakfast;Restaurant;Parking,High floor,Room service;Spa;Restaurant;Mini-bar;Breakfast,"[Room service, Spa, Restaurant, Mini-bar, Breakfast]",4,Yes,1818.3,1,No
T100083,31,Male,UK,Yes,Leisure,Website,6,2,3,Deluxe,Jun,4,233.69,Breakfast;Spa;Restaurant;Parking,High floor,Room service;Laundry;Gym;Restaurant;Breakfast,"[Room service, Laundry, Gym, Restaurant, Breakfast]",3,Yes,911.07,1,Yes
T100084,28,Male,Canada,No,Leisure,App,3,2,5,Standard,Jul,4,157.63,WiFi;Pool;Gym;Restaurant;Parking,Early check-in,Room service;Restaurant,"[Room service, Restaurant]",4,No,898.15,1,No
T100085,31,Male,Canada,Yes,Business,App,8,7,5,Standard,Feb,1,125.02,WiFi;Breakfast;Restaurant;Parking,None,Room service;Laundry;Restaurant;Breakfast,"[Room service, Laundry, Restaurant, Breakfast]",3,No,785.1,0,No
T100086,48,Female,China,No,Business,Website,1,4,3,Standard,Oct,2,116.89,WiFi;Gym;Breakfast;Parking,None,Room service;Breakfast,"[Room service, Breakfast]",4,Yes,470.67,0,Yes
T100087,41,Male,USA,Yes,Business,App,5,12,1,Deluxe,Dec,1,237.22,WiFi;Gym;Breakfast;Restaurant;Parking,None,Laundry;Restaurant,"[Laundry, Restaurant]",5,Yes,327.22,1,No
T100088,31,Male,India,No,Leisure,Agent,1,1,7,Deluxe,Jan,2,207.49,WiFi;Breakfast,None,Spa;Restaurant;Breakfast,"[Spa, Restaurant, Breakfast]",2,No,1682.43,0,Yes
T100089,44,Female,Italy,No,Leisure,App,2,20,10,Deluxe,Oct,4,194.44,WiFi;Gym;Restaurant;Parking,None,Room service;Laundry;Gym;Restaurant;Mini-bar,"[Room service, Laundry, Gym, Restaurant, Mini-bar]",4,Yes,2124.4,0,No
T100090,39,Female,India,No,Leisure,Website,1,18,5,Deluxe,Apr,3,213.06,WiFi;Gym;Breakfast;Restaurant,Early check-in,Room service;Laundry;Spa;Gym;Restaurant;Mini-bar;Breakfast,"[Room service, Laundry, Spa, Gym, Restaurant, Mini-bar, Breakfast]",4,Yes,1415.3,0,Yes
T100091,49,Female,USA,No,Business,App,1,2,2,Deluxe,Mar,1,185.92,Pool;Breakfast,None,Laundry;Restaurant;Mini-bar;Breakfast,"[Laundry, Restaurant, Mini-bar, Breakfast]",3,Yes,521.84,0,No
T100092,29,Male,China,No,Business,App,0,4,2,Standard,Sep,1,129.78,WiFi;Gym;Breakfast,Late check-out,Laundry;Spa;Restaurant,"[Laundry, Spa, Restaurant]",4,Yes,449.56,0,No
T100093,34,Male,France,Yes,Leisure,Agent,7,8,5,Standard,Jan,2,115.23,WiFi;Breakfast;Spa,Early check-in,Room service;Laundry;Gym;Mini-bar,"[Room service, Laundry, Gym, Mini-bar]",2,No,696.15,0,No
T100094,33,Other,Italy,No,Business,App,1,8,1,Deluxe,Jul,2,223.33,WiFi,High floor,Breakfast,[Breakfast],4,Yes,243.33,1,No
T100095,20,Female,USA,Yes,Business,Website,10,7,4,Deluxe,Jan,1,214.32,WiFi;Gym;Breakfast;Parking,High floor,Room service;Laundry;Spa;Gym;Restaurant;Breakfast,"[Room service, Laundry, Spa, Gym, Restaurant, Breakfast]",4,Yes,1117.28,0,No
T100096,41,Male,Germany,No,Leisure,Agent,1,28,4,Standard,Jul,4,136.5,WiFi;Pool;Breakfast;Spa;Restaurant;Parking,High floor,Room service;Laundry;Gym;Breakfast,"[Room service, Laundry, Gym, Breakfast]",4,Yes,696.0,1,Yes
T100097,41,Male,UK,No,Business,App,1,9,2,Standard,Jul,1,153.89,WiFi;Pool;Breakfast;Parking,Extra pillows,Room service;Spa;Gym;Restaurant,"[Room service, Spa, Gym, Restaurant]",3,No,517.78,1,No
T100098,38,Male,UK,Yes,Business,Website,11,19,3,Standard,Dec,1,138.13,WiFi;Breakfast;Parking,None,Room service;Laundry;Gym;Restaurant;Breakfast,"[Room service, Laundry, Gym, Restaurant, Breakfast]",4,Yes,574.39,1,No
T100099,35,Female,France,Yes,Business,Website,10,1,3,Standard,Sep,2,130.41,WiFi;Gym;Breakfast;Restaurant,Early check-in,Laundry;Breakfast,"[Laundry, Breakfast]",4,Yes,441.23,0,No
T100100,21,Male,UK,No,Business,Website,1,1,1,Deluxe,Feb,1,188.76,WiFi;Gym;Breakfast,Extra pillows,Gym;Restaurant;Breakfast,"[Gym, Restaurant, Breakfast]",2,No,268.76,0,No
T100101,32,Male,UK,No,Other,App,3,108,9,Standard,Jun,2,131.61,WiFi;Pool;Gym;Restaurant,Early check-in,Room service;Laundry;Restaurant;Breakfast,"[Room service, Laundry, Restaurant, Breakfast]",3,No,1394.49,1,Yes
T100102,33,Male,USA,No,Business,Website,2,2,4,Standard,Dec,1,156.57,WiFi;Parking,High floor,Room service;Gym;Breakfast,"[Room service, Gym, Breakfast]",3,No,696.28,1,No
T100103,28,Female,France,No,Business,App,1,6,4,Standard,Sep,2,111.98,WiFi;Gym;Breakfast;Parking,Early check-in,Laundry;Restaurant;Breakfast,"[Laundry, Restaurant, Breakfast]",3,No,557.92,0,No
T100104,36,Female,Italy,No,Business,Phone,0,6,4,Deluxe,Aug,1,261.32,WiFi;Breakfast,High floor,Laundry;Spa;Gym,"[Laundry, Spa, Gym]",4,Yes,1225.28,1,Yes
T100105,42,Male,Australia,No,Leisure,Agent,2,1,5,Standard,Jul,3,153.33,Pool;Gym;Spa,Late check-out,Room service;Gym;Restaurant;Mini-bar,"[Room service, Gym, Restaurant, Mini-bar]",2,No,966.65,1,Yes
T100106,60,Female,Italy,Yes,Business,Phone,8,10,4,Standard,Jun,1,131.96,Gym;Breakfast;Parking,None,Room service;Spa;Breakfast,"[Room service, Spa, Breakfast]",3,Yes,747.84,1,Yes
T100107,40,Female,USA,Yes,Business,Phone,16,25,5,Standard,Aug,1,142.42,WiFi;Pool;Breakfast,None,Laundry,[Laundry],3,No,742.1,1,No
T100108,41,Male,China,No,Business,Website,1,15,3,Deluxe,Oct,2,182.94,WiFi;Gym;Breakfast;Parking,Late check-out,Room service;Gym;Restaurant;Breakfast,"[Room service, Gym, Restaurant, Breakfast]",4,No,728.82,0,Yes
T100109,37,Male,India,No,Business,App,0,1,3,Standard,Feb,1,115.91,WiFi;Pool;Gym;Breakfast;Restaurant,None,Room service;Laundry;Gym;Restaurant;Mini-bar,"[Room service, Laundry, Gym, Restaurant, Mini-bar]",2,Yes,527.73,0,No
T100110,18,Male,USA,No,Business,Website,1,3,8,Standard,Dec,1,139.72,WiFi;Gym;Breakfast,Early check-in,Gym;Restaurant;Breakfast,"[Gym, Restaurant, Breakfast]",4,Yes,1197.76,1,No
T100111,37,Female,China,No,Leisure,Agent,2,9,8,Suite,Apr,2,407.97,WiFi;Gym;Breakfast;Spa;Restaurant,High floor,Room service;Laundry;Spa;Gym;Breakfast,"[Room service, Laundry, Spa, Gym, Breakfast]",3,No,3463.76,0,No
T100112,38,Female,Canada,Yes,Leisure,Website,6,2,5,Standard,Jun,3,157.71,WiFi;Pool;Breakfast;Parking,Extra pillows,Room service;Laundry;Spa;Gym;Breakfast,"[Room service, Laundry, Spa, Gym, Breakfast]",3,Yes,988.55,1,No
T100113,67,Female,USA,No,Business,Phone,2,6,2,Standard,Jan,1,112.07,Gym,High floor,Gym,[Gym],3,No,274.14,0,Yes
T100114,35,Female,UK,Yes,Business,App,5,6,1,Deluxe,Jul,2,231.8,WiFi;Breakfast;Parking,Early check-in,Room service;Laundry,"[Room service, Laundry]",4,No,311.8,1,No
T100115,41,Male,UK,Yes,Leisure,Agent,4,6,7,Deluxe,Jun,2,244.18,WiFi;Breakfast;Restaurant;Parking,Late check-out,Gym;Restaurant;Breakfast,"[Gym, Restaurant, Breakfast]",5,Yes,1789.26,1,No
T100116,37,Female,UK,No,Business,Website,0,9,4,Standard,Apr,1,112.11,WiFi;Gym;Restaurant;Parking,High floor,Laundry;Spa;Restaurant;Breakfast,"[Laundry, Spa, Restaurant, Breakfast]",3,Yes,658.44,0,No
